coin_name,"May, 2022","April, 2022","March, 2022","February, 2022","January, 2022","December, 2021","November, 2021","October, 2021","September, 2021","August, 2021","July, 2021","June, 2021","May, 2021","April, 2021","March, 2021","February, 2021","January, 2021","December, 2020","November, 2020","October, 2020","September, 2020","August, 2020","July, 2020","June, 2020"
KRW-BTC,-8.167705957850695,-8.167705957850695,1.8231295092690283,-0.12059797976065074,-12.923182081815723,-12.923182081815723,4.414784076014363,9.973631707003957,15.759264776524295,10.005815292627835,8.683473885260439,-8.222120134979379,-15.870659929885889,-0.832146105007979,25.126137111558574,31.325281387573096,35.4182323422089,33.52195045816433,37.05135400260631,17.419287040599944,6.05834375397523,5.663974410893528,6.9735314515460844,9.178848378258104
KRW-ETH,-9.235707865489147,-9.235707865489147,3.1451257160501047,-2.2547224059196367,-11.662642376693995,-11.662642376693995,9.976890406013036,14.22942681087516,22.19511463851694,12.999555442957748,10.325468268749512,-3.0929693260254267,6.773591697843791,26.832523161279358,32.130963412255156,44.447774571758124,37.44019095127128,50.60811550865284,26.356294977762534,12.876761887205205,3.7556987195907907,19.625834001325966,24.411860918448493,20.09454383543937
KRW-BAT,-14.23806336456939,-14.23806336456939,-8.558201058201062,-7.852495352495356,2.2060855279750817,2.2060855279750817,29.24465133113232,29.064736715327214,19.834371598437276,4.320458062610126,3.779740689085184,-18.061339764970665,-17.99731260554304,32.512677647868266,73.05709217451967,87.93339583039209,38.82941536034905,19.856933783218953,-5.160230512882721,-10.346372506701057,-6.3858669774751435,1.6272751969573533,18.104575163398703,10.57604663487017
KRW-MANA,-24.669477477290997,-24.669477477290997,-16.27505016200037,-6.916130017009299,8.667577098355023,8.667577098355023,114.49461591286797,116.64934637533783,104.4005718655339,10.726785514775713,7.924956195747742,-17.46330138000983,-11.427900517299735,118.57792578513698,152.832604929522,170.986952718515,48.54898117953443,38.46165880119039,-1.6873478538534386,-3.6619861864077023,25.24380084717113,39.98448050711709,43.42078318910942,13.327552752888622
KRW-THETA,-20.01108175555553,-20.01108175555553,-1.6631682024559222,0.09009447361960099,-23.525997641619593,-23.525997641619593,1.6284124873857735,4.537536667375097,9.174832314839868,-7.567609903369587,-1.7318381521048767,-17.435504520285956,-17.406334407244874,89.1777496768392,125.30740740740741,129.91682360326428,89.92148653958189,66.22555471774558,58.81021939955167,11.578235892218999,36.69777882516642,50.618849462654964,28.38320707070707,37.76458462172749
KRW-XLM,-7.351853863074697,-7.351853863074697,-2.1349978899162014,-3.77334673457114,-17.20647280853703,-17.20647280853703,0.8543294940353773,3.1281183099096217,11.814986996778309,1.9100553271407545,-3.309842612168193,-18.204211663840614,-9.48367294330189,2.5967076668721147,23.480945735119786,60.63606500291511,46.66350680288909,83.99477627829516,38.487712488830546,42.621152148586,-7.568673212082193,7.224234972077666,12.517139680863117,14.682172360601685
KRW-ADA,-11.606063009115909,-11.606063009115909,-7.034747443824441,-3.566466168223803,-17.220504504115606,-17.220504504115606,-14.633513943026983,-15.63600221941707,27.15050893676954,28.91134446263744,28.637080299484396,0.473087429609168,5.222185634556763,11.076272883992852,100.66957431939956,127.09586212436102,130.52057238901656,57.86810789444678,25.21513345042757,16.69094634611876,-13.583223928051517,11.716841331650476,21.532368835755566,44.14567696032886
KRW-EOS,-10.986432534248499,-10.986432534248499,-0.8389888949570334,-0.6598231617834488,-19.053272368317554,-19.053272368317554,-6.80912884705079,-4.578399840241572,6.882593480100848,1.6090779200072844,-4.932534632333543,-12.505402106802618,-1.8516157334183962,26.331742425877668,33.48921250350376,27.491360072149263,5.842201715264146,5.621769973093275,-0.10716418812853945,-0.7825313678943786,-7.443195862346337,4.191199123395226,6.790872405954167,3.854501282962346
